Session Title	Session Level	Session Abstract
Dev and Test in the Cloud	200	Moving dev and test to the cloud provides a quick and easy way to realize significant benefits of Microsoft Azure.  Organizations naturally prioritize their budget to keep production systems up and running.  This results in development and test being underfunded and not adequately equipped.  It is further complicated by differing infrastructure objectives; dev and test wants to be agile while operations wants to be deliberate.  There can even be challenges between development groups and QA regarding resource allocation.  Microsoft Azure provides a simple solution; move dev and test operations to the cloud and gain agility and budget flexibility while removing resource contention among the different groups in an organization.  This session will explain the benefits of moving dev and test to Azure and will demonstrate a number of ways you can leverage Azure to support your organization's dev and test initiatives. 
Event Source API & Semantic Logging	100	In this discussion we will be focusing on EventSource API in .net framework 4.5 and how Semantic Logging Application Block builds on top of that, providing multiple log destination support using Event Tracing for Windows. We will be discussing how we can bring more structure in our logging using the application block, improving troubleshooting, which can only be achieved by proper and well-designed instrumentation.
Introducing Roslyn	200	Project Roslyn is Microsoft's next-generation compiler for C# and VB that will revolutionize the .NET ecosystem by enabling the average .NET developer to leverage the power of the compiler. In this talk, I will introduce you to the compiler's new API, and demonstrate how exposing the compiler as a service will change the .NET development environment forever.
A Gentle Introduction to CQRS	200	Contemporary software systems are increasingly having to deal with "concurrency" and "scalability". There are various reasons why parallelism is a common contemporary approach but it's complex and there are many patterns & practices that aid with complexity. CQRS builds on those patterns & practices to make concurrency and scalability easier, if you let it. We will discuss the basic principles around CQRS & its roots. We'll discuss where CQRS fits, what types of complexities CQRS will help deal with, & when CQRS might not be a good fit. Some in-the-trenches-type lessons learned and temper the principles with some recommended practices will also be covered. As well, some of the reasons why you'd want to have a CQRS frame-of-mind along with some ways to think CQRS with existing systems without rewriting your whole system. CQRS and its related practices & principles are one of areas of software development that really parallels journeyman/master in the level of detail and skill required for it to be mastered.
How *Not* to Write Concurrent Code	200	Invariants, locking, mutexes, critical sections, monitors, barriers, race conditions, non-deterministic, memory coherence, consistency models, etc. "Multithreading is hard", hard to do correctly and easy to do incorrectly. "Correctly" is almost always application-specific and usually caveated with "it depends". It's hard to define specific rules or practices that work in all circumstances. This session takes a different point of view on things and shows you specific ways to do things "wrong" with regard to multi-thread. This session will detail some of the common primitives and techniques use in multi-threading, but used in the wrong ways. Why they are wrong and alternatives will be covered. Topics like Sleep, DoEvents, volatile, lock, interlocked, thread priority, non-shared data, etc. will be covered.
The Evolution of Asynchronous Programming on .NET	200	Everything you wanted the know about asynchronous programming in .NET, but were afraid to ask. Multithreaded programming is hard. the latest version of Visual Studio includes language additions to C# and VB to make it much easier to write asynchronous code (the async and await keywords). .NET has had numerous ways to implement asynchronous and lengthy operations over the years. This session details some of these techniques, their benefits and their drawbacks. This session also details the progression of these techniques leading up to async/await in an effort to better understand the new syntax as well as better understand how to migrate existing asynchronous code to the new syntax. As well, this session allows you to increase your expertise with several advanced language features that the new syntax and existing patterns build on, like lambdas, anonymous methods, closures, etc.
Bring The Rain: Cloud Powered Continuous Delivery	100	Together we'll harness the power of the cloud and strap a rocket-sled to your build, test, and deployment processes. Using popular open source technologies we'll explore a full end-to-end solution designed to keep you moving quickly and confidently. You'll be automatically building, testing, and shipping your product directly from source control in no time! And, we'll have some fun along the way with helpful metrics, prestigious badges, and have a few laughs with those inevitable (and hopefully infrequent) build failure notifications.
TCP servers done right in .NET	200	Many people say that the arrival of good garbage collected languages mean you don't have to worry about things like memory management any more. This might be the case for line of business software, but what about when you want to write a TCP server capable of dealing with a decent number of connections?  In this talk we'll look at the challenges of TCP servers in C# by converting a synchronous, thread-per-client server to use hipster-compliant asynchronous evented IO and then optimising it not to die from GC pressure.
Build your own SEDA for great win	200	Often developers getting started with using messaging patterns are lured into the murky world of third-party frameworks which do a lot more than they need. In this code-heavy session we'll look at how you can use the generics system in C# to build an in-process Staged Event Driven Architecture to enable an actor-like model.
Responsive Design with Bootstrap 3	100	Bootstrap is a free collection of tools for creating websites and web applications. It contains HTML and CSS-based design templates for typography, forms, buttons, navigation and other interface components, as well as optional JavaScript and jQuery extensions. See how Bootstrap fits into MVC sites created in Visual Studio 2013 and WebMatrix that deliver a mobile first design approach. CSS development frameworks including LESS and SASS are also demonstrated.
SharePoint 2013 Client Side Rendering	200	Custom SharePoint solutions used to be built with web parts, event receivers, and features. Microsoft says we should use the new App model instead. This talk is about the middle ground of the CSR. Learn how to effectively use JavaScript, HTML, and CSS to render list views, search results, refiners, and more.
Responsive Design in SharePoint 2013	100	Responsive design is used to make web sites form factor friendly. The user interface adjusts automatically whether you browse from a desktop, tablet, smartphone, or other device. Learn what CSS tricks make this work and how they can be applied to SharePoint 2013 internal and external web sites. We will focus on Twitter Bootstrap 2 and 3 and Zork Foundation 4 integration. There are a number of tools on CodePlex to help you accomplish your responsive goals.
Message Based Applications with RabbitMQ / AMQP	200	Building asynchronous messaged based applications scale much better than traditional service oriented architectures.  However, it takes some  adjusting to realize the full potential of how message queues are used to build real-time and dynamic data driven applications.  This session will go over how to architect .Net applications using the Advanced Message Queuing Protocol (AMQP).  It will cover the basic  concepts and primitives defined by the AMQP standard and RabbitMQ extensions as well as how they translate into some of the traditional  message patterns (Publisher / Subscriber , Observers, Work Queues, etc) 
DataVis with D3	100	In this demo and tutorial based session, learn how to use D3 to develop your own data visualizations.  Some experience with JavaScript, HTML, and CSS is recommended. 
AngularJS Jumpstart	200	Learn the fundamentals about what the AngularJS library can do for you. In this session, you will learn the fundamentals about what the AngularJS library can do for you when building Web applications and how to use some of the key features such as dependency injection, data binding, and navigation. To get the most out of this session, you should have basic knowledge of HTML, JavaScript, and CSS.
Build Data-Centric HTML5 Single Page Applications with Breeze	200	Learn how Breeze can help you build rich, data-centric client HTML applications. BreezeJS is a Javascript library that lets you easily retrieve and update data via Web APIs or OData services. In this session you will learn how Breeze can help you with your data-bound HTML UIs to execute rich queries from the client, load and cache the retrieved data, work with it on the client side, validate changes, and save changes back to the server side. You will see how you can integrate Breeze with client separation patterns like MVVM and MVC and integrate with data binding libraries including Knockout and Angular.
Building Rich Data Web APIs with ASP.NET OData	200	ASP.NET Web API makes it really easy to write Web APIs or HTTP services of any flavor. But the vast majority of remote service call needs for client and web applications is to perform CRUD operations - retrieve data, work with it on the client side, and send changes back to the server. The OData protocol standardizes how to do this, and ASP.NET Web API makes it easy and powerful to implement OData services. You’ll see how you can just use one part of OData - the query syntax - to express rich client queries from the client side that get executed server side without needing to use any other part of the OData spec. Or you can go full OData and use the formatting of OData as well as the query syntax and expose CRUD services that will be standardized and interoperable on almost every relevant platform out there today. 
Extending Windows 8, WPF, and Phone apps with XAML Behaviors	200	Behaviors are a way to extend the functionality of the XAML elements you are working with in a clean, reusable way that you can integrate directly into the XAML without violating good separation of concerns principals. Behaviors have been around for a while for WPF and Phone apps, but got a fresh new approach for Store apps in VS 2013 with the Behaviors SDK. In this session you will learn about foundations of behaviors - what they are and how they work. You’ll learn about the built-in behaviors suppled by the Blend team and how to use them for a wide range of common scenarios. And you’ll learn how to write your own custom behaviors for your own specialized scenarios.
Build Maintainable WPF MVVM Apps with Prism 5	300	The Model-View-ViewModel (MVVM) pattern has become the standard UI separation pattern in XAML technologies as a way of separating concerns in your client code. In this session you will get a quick review of the fundamentals of MVVM, you'll see how to structure your WPF app with MVVM, and you'll see how to leverage features in Prism such as command, pub/sub events, regions and navigation to build loosely coupled, extensible, and easy to maintain apps. 
Create your own SharePoint 2013 dev. VM. Live!	200	Get ready to create your own SharePoint 2013 dev. VM from scratch using PowerShell scripts. The deep dive session will take you through the hands-on of creating a new dev. VM right from the point where you setup and configure the Windows Server, set up the AD, Install and prepare SQL server 2012 for the SharePoint set up and finally install and configure SharePoint 2013 on it. Upfront software and script download information and steps will be provided so you can follow along and create your own VM along with the speaker if you'd like to.
The New Developer	200	The way we develop applications is changing. The rise of mobile showed that data as a service could empower and reach people like never before.  The trend continued until the point now with smart cars, smart watches, smart consoles and, yes, smart appliances.  Central to this trend is data. And the question developers must answer is "How can I make this data available to the largest group of people possible?"  The answers to this questions vary almost as widely as the data itself, but there are some key tools and techniques developers today are using to make data widely available and enable consumers to get the data in a variety of ways.  Nevertheless, despite the variations there is a common undertone.  In this session we will explore many of the concepts central to this movement such as REST and SPA Frameworks.  We will talk about the difference between an Application and a Service.  And finally, we will discuss the architectural decisions and challenges with exposing your data to the world.
Building a Faceted (read: Awesome) Search Solution using Solr and AngularJs	200	How many times have you had a business user ask for a search engine for your web application?  Then the next thing you hear is “can it have that nice drill down search like Amazon?”.  After removing your forehead from the desk your next step is to try and come up with a SQL or MySQL query to accomplish this.  Oh and don’t forget paging.  Now that query isn’t quite so efficient anymore.  In this session we will look at a really cool approach to this common problem.  Imagine a search engine that was designed and tuned for these types of queries that returns as much metadata (facets) as you like along with pagination counts.  This demo-focused session will explore a solution that uses ASP.NET MVC and SQL for the traditional line-of-business web application and then Solr and AngularJs for the dynamic and lightning-fast search page.
Old and New ideas for improving your application architecture	200	In this talk we will re-visit the common architectural concepts like Serialization and Synchronization to see how we can leverage new ideas/technologies. We will cover Protobuf.NET and Apache Avro, .NET Immutable collections and a little bit of Reactive Programming. Yes, the topics are across the spectrum, and hopefully make the session an interesting one for you!
Introduction to Functional Data Structures in F#	100	Arrays are the fundamental data structure for procedural programming language. While arrays can be used effectively in F#, purely functional programs demand purely functional data structures. We will review the fundamental functional data structures, the list and the tree, and then see how to extend them to solve specific problems in functional code.
Integrating .NET Code into Microsoft Excel using ExcelDNA	100	In the past ,creating XLL extensions for Microsoft Excel has been rewarding, but often too time-consuming to be worthwhile. However, now that multicore processors are the rule there seems to be more reason than ever to go beyond the single-thread limitations of VBA code and COM libraries. We will see how to use the open-source ExcelDNA project to load managed code created with C# or F# into Excel as an XLL,  and integrate new functionality into Excel workbooks.
Modern Web Development Workflow backed by .NET	200	The client-side toolset is moving faster than the Visual Studio release cycle. While Visual Studio remains king of .NET development, modern web interfaces have shifted away from server-generated HTML and into JavaScript libraries like Angular or Ember. This talk focuses on breaking your web UI out of Visual Studio and making it an isolated, testable, first-class citizen like you would do for your Android or iOS applications. Learn how to create powerful, rich web interfaces using the right tools for the job while retaining server-side logic in the languages you know.
Dethroning Grunt: Simple and Effective Builds with Gulp	100	Grunt is king. It is the ubiquitous task runner used for most nodejs projects and has quickly expanded to conquer other software ecosystems. However, its kingdom is vulnerable. Grunt does not align well with many nodejs paradigms and is notorious for its harsh learning curve. Meet Gulp, the challenger in the taskrunner revolution. Gulp’s easy configuration produces an easy learning curve, and its alignment with nodejs paradigms eliminates the friction. Grab your ticket, your foam finger, and your team-colored face paint and witness the battle, the revolution, and the crowning of Gulp.
What does it mean to be Agile?	100	You have  heard it before: " We're agile." Or, we practice agile methodologies. etc, etc.   It may surprise you to know there is no such thing as an "Agile Process". There are Agile Principles that are codified in the Agile Manifesto and a process, whatever it is, may be compliant with those principles. A good example is Scrum - which is a framework for solving complex business problems. Another popular methodology is XP (Extreme Programming). There's also LEAN. All of these are implementations, to one extent or another, of agile principles. In this session, John will facilitate a discussion around the the fundamentals of agile. What does the manifesto actually say? What doesn't it say? After this session, you'll be equipped with the basics of evaluating your agile efforts within your organization. 
Writing a compiler using C#, Irony, and RunSharp	300	(I listed this as a 300 level, but I'll try to tone it down to a 200)  In this talk, I'll introduce a rather exotic programming language (Shakespeare), and then lead the audience thru the grammar, building a parser, writing a support library, creating three different code generators (C source code, C# source code, and MSIL),  and building a command-line tool to tie all the parts together. 
PowerShell for Developers	200	Microsoft Most Valuable Professional (MVP) Doug Finke takes us through PowerShell from a developer’s point of view. Doug shows techniques for integrating/debugging PowerShell from and to C# code as well as using PowerShell with a Windows Presentation Foundation (WPF) application. He also addresses using reflection at the command line, object pipelining, and PowerShell’s REPL. 
PowerShell in a DevOps environment	200	In this session Doug Finke walks through Windows PowerShell Desired State Configuration (DSC), a new management system in Windows PowerShell that enables the deployment and management of configuration data for software services and the environment on which these services run.  Doug demos how to stand up and configure your components in a repeatable, reliable way, taking agility to the next level. Plus, he shows how this enables the DevOps discussion in your organization.
Achieve 100% Code Re-Use with Xamarin Forms + Azure Mobile Services	200	With the introduction of Xamarin Forms, developers are able to reach Android, iOS, and Windows from a 100% shared codebase.  Using Azure Mobile Services with Xamarin forms enables rapid development of cross-platform apps that securely store data in the cloud. In this session we will discuss how the pieces fit together and create a small app demonstrating the end-to-end flow of data across multiple devices on different platforms.
Increase Your App’s Responsiveness with Reactive Xamarin Forms	200	Xamarin Forms enables rapid development of cross-platform native applications that use a single code-base. Reactive Extensions (Rx) with the ReactiveUI (RxUI) library makes it easy to write declarative event-driven programs. This session will show how to use these libraries to create a XAML-based UI that works across iOS, Android and Windows Phone.
Scaling Teams - The Human Side of Service Oriented Architecture	300	A lot has been said and written about the performance and scaling benefits of service-oriented architectures. So much, that I now see early startups beginning with an SOA in an effort to build something scalable the first time, so that they only have to build something once if they ever grow past the limitations of their monolithic architectures.  Having spent the past year at Groupon leading a team that helped move various parts of our architecture into globally scalable services, I want to make the case for smaller startups to stick with a monolithic architecture, and present the case that scaling an application is as much about scaling teams as it is about scaling performance and capacity.  The talk will cover technical details of service-oriented architecture in general, and Groupon's in particular, but will also cover non-technical topics such as project management, communication, team building, and employee satisfaction as they relate to building an SOA.
Site building with Umbraco 7	100	Umbraco is a free, open-source web content management system built on the ASP.NET platform. Learn how Umbraco makes it easy to develop a CMS-driven site. This session will introduce the basics of creating a site with Umbraco by creating document types, MVC controllers and Razor templates. The session will cover all the steps to create a simple site and demonstrate Umbraco development best practices. 
The new Office 365 API	200	By using the all new Office 365 API developers are finally able to use web standards in order to consume data sitting in Office 365 services. Thorsten Hans will give you an introduction into both, the new Office 365 API and the Office 365 API Tools for Visual Studio. During this talk you'll learn how to integrate data from Office 365 into Web Applications and how to implement AuthN for single Office 365 tenants or for multiple tenants which offers great possibilities for ISVs.
Speed up SharePoint App Development using ShareCoffee	200	ShareCoffee is a community driven OpenSource library which provides an single, unified API for JavaScript across all SharePoint REST API's. No matter if you're building SharePoint Apps which are running Provider- or SharePoint-Hosted, not matter if you're accessing data from App- or from the HostWeb. ShareCoffee gives you an unified API to call them all in the same fashion. ShareCoffee also provides great API's to get common App-Developer tasks done easily such as loading Chrome Controls or retrieving a preconfigured CSOM ClientContext for doing CrossDomain calls. Join and learn how to increase your productivity!   
AngularJS <3 ASP.NET MVC	200	Many Frameworks has been hyped during the last decade, but AngularJS is perhaps the most popular one ever. This small Open Source Framework offers a great environment to rapidly build structured Web Applications on the client-side using only plain language features from HTML and JavaScript. Both the great flexibility and the performance from AngularJS allows you as a developer to build rock-solid applications on top of this framework. Thorsten Hans will give an introduction into AngularJS and demonstrate you how to combine both AngularJS and latest ASP.NET MVC in order to build scalable Web Applications.
A Whirlwind Tour of Xamarin	100	Xamarin allows C# developers to target multiple platforms with the language and tools they love. Whether you’re looking to build cross-platform mobile applications targeting iOS and Android or if you are hoping to build the next great Mac application, Xamain has you covered. In this session, I’ll briefly cover where Xamarin came from (believe it or not it has been around since 2009!) and where it’s heading before launching into a tour of its features and workflows. I’ll show you how to use Xamarin Studio and Visual Studio to build iOS and Android applications. You’ll leave with enough knowledge to decide for yourself (or convince your boss!) that Xamarin is right for your project.
Creating Xamarin Bindings for Native iOS Libraries	300	So, you found a really awesome component for iOS but there's no Xamarin support.  Guess you're out of luck, huh? Thankfully, it is your lucky day! In this session I will show you what steps you need to take to create C# bindings to native iOS libraries so that you can bring all the fun things you find on Cocoa Controls into your Xamarin applications. I will cover binding simple libraries using Objective Sharpie as well as more advanced manual examples using iOS Binding Projects. Finally, I'll cover the steps necessary to create a component out of your newly bound project for submission to the Xamarin Component Store.
Creating Cross-Platform Mobile Apps Using C# with Xamarin	200	iOS and Android present great opportunities for developers.  Unfortunately, many developers shy away because of the unfamiliar development environment. It doesn't have to be that way! Come learn how to build Android and iOS applications using C# with Xamarin 3.0. You'll learn how to use your existing C# skills to build apps for these platforms (and Windows Phone+Windows 8!) from within the same solution in Visual Studio! You'll also see how Xamarin.Forms allows you to achieve up to 100% code sharing between iOS, Android, and Windows Phone while still preserving native performance and look & feel.
Build Real-Time Websites and Apps with SignalR	200	If you've ever wanted to build a highly responsive app that leverages a real-time communications library, then SignalR is for you! Real-time web functionality is the ability to have the server push messaging aggressively to the client, rather than relying on the client to make multiple and frequent requests. SignalR is a set of ASP.NET server and client libraries that you can use to build real time, scalable, websites and apps. You can use SignalR in both enterprise and consumer apps, and across platforms. This session covers what you need to know to build a SignalR app that connects multiple clients instantaneously. 
